year	month	day	volume	company
2018	8	29	0	3000336
2018	8	29	0.6452	3000337
2018	8	29	6.8387	3000338
2018	8	29	3.247	3000339
2018	8	29	1.6083	3000340
2018	8	29	0	3000341
2018	8	29	0	3000342
2018	8	29	0	3000344
2018	8	29	0	3000345
2018	8	29	0	3000347
2018	8	29	18	3000350
2018	8	29	8	3000351
2018	8	29	0.35	3000352
2018	8	29	0.2903	3000353
2018	8	29	0.3226	3000354
2018	8	29	3.871	3000355
2018	8	29	0.5806	3000356
2018	8	29	0.5806	3000357
2018	8	29	18.2581	3000358
2018	8	29	18.2581	3000359
2018	8	29	0.0645	3000360
2018	8	29	2.5161	3000362
2018	8	29	2.5161	3000363
2018	8	29	4.8387	3000364
2018	8	29	0	3000366
2018	8	29	17.6129	3000367
2018	8	29	0	3000368
2018	8	29	18	3000369
2018	8	29	1.0323	3000370
2018	8	29	2.9355	3000371
2018	8	29	5.4516	3000372
2018	8	29	0.7419	3000373
2018	8	29	0.7419	3000374
2018	8	29	0	3000375
2018	8	29	1.4194	3000376
2018	8	29	27.3548	3000377
2018	8	29	6.871	3000378
2018	8	29	0	3000379
2018	8	29	19.74	3000380
2018	8	29	0	3000381
2018	8	29	2.8753	3000382
2018	8	29	0.6012	3000383
2018	8	29	2.3011	3000384
2018	8	29	4.2731	3000385
2018	8	29	5.0645	3000386
2018	8	29	0	3000387
2018	8	29	1.1624	3000388
2018	8	29	0.1326	3000389
2018	8	29	0.2856	3000390
2018	8	29	0	3000391
2018	8	29	0.0008	3000392
2018	8	29	0.6774	3000393
2018	8	29	0.2581	3000394
2018	8	29	0.0218	3000395
2018	8	29	0.1935	3000396
2018	8	29	2.7097	3000397
2018	8	29	1.129	3000398
2018	8	29	0.9355	3000399
2018	8	29	1.3871	3000400
2018	8	29	0.871	3000401
2018	8	29	0.2903	3000402
2018	8	29	0.7097	3000403
2018	8	29	1.129	3000404
2018	8	29	1	3000406
2018	8	29	0.0882	3000407
2018	8	29	0.9118	3000408
2018	8	29	1	3000409
2018	8	29	0	3010113
2018	8	29	0	3010256
2018	8	29	0	3010398
2018	8	29	0	3010399
2018	8	29	0	3010400
2018	8	29	1.5161	3010401
2018	8	29	0.3226	3010402
2018	8	29	3.1613	3010403
2018	8	29	0.3938	3010404
2018	8	29	0.6774	3010405
2018	8	29	0.1971	3010406
2018	8	29	0.1613	3010407
2018	8	29	1.9677	3010408
2018	8	29	0.1613	3010409
2018	8	29	0.2903	3010410
2018	8	29	0.0023	3010411
2018	8	29	12	3010412
2018	8	29	1.7249	3010413
2018	8	29	10.2751	3010414
2018	8	29	0.0339	3010415
2018	8	29	0.4194	3010416
2018	8	29	0.9355	3010417
2018	8	29	0.7384	3010418
2018	8	29	1.5806	3010419
2018	8	29	1.9677	3010420
2018	8	29	0.6129	3010421
2018	8	29	0	3010422
2018	8	29	0	3010423
2018	8	29	0	3010424
2018	8	29	0	3010425
2018	8	29	0.409	3010426
2018	8	29	2.5806	3010427
2018	8	29	0	3010428
2018	8	29	0.1613	3010429
2018	8	29	2	3010431
2018	8	29	1.2664	3010451
2018	8	29	12.9032	4000001
2018	8	29	0	4000003
2018	8	29	0.0645	4000006
2018	8	29	0.0006	4000007
2018	8	29	0.2581	4000008
2018	8	29	0.3226	4000010
2018	8	29	0.3226	4000012
2018	8	29	13.871	4000017
2018	8	29	10.6452	4000018
2018	8	29	0.7419	4000021
2018	8	29	0	4000023
2018	8	29	3.1323	4000025
2018	8	29	20	4000026
2018	8	29	3.5484	4000027
2018	8	29	1.0645	4000028
2018	8	29	5	4000029
